,Brand,Phone,Colour,Ram,Rom,PrimaryCamera,SecondaryCamera,Battery,Price,URL,DISPLAY
0,OnePlus,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)  (6 GB RAM)",Blue Tide,6 GB RAM , 128 GB ROM,64MP Rear Camera,-,5000 mAh Battery,"₹19,847",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGHHXQCZQVEQDG&lid=LSTMOBGHHXQCZQVEQDGNPTZOJ&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=87c6d1ae-f83a-446d-a207-b4ddc4a66f72.MOBGHHXQCZQVEQDG.SEARCH&ppt=hp&ppn=homepage&ssid=6k4jstvlr40000001668974683728&qH=53863d4d978d5074,16.74 cm (6.59 inch) Display
1,OnePlus,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)  (6 GB RAM)",Blue Tide,6 GB RAM , 128 GB ROM,64MP Rear Camera , 16MP Front Camera,5000 mAh Battery,"₹19,899",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGDWFJFBKYTEGP&lid=LSTMOBGDWFJFBKYTEGPGHG2AM&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=87c6d1ae-f83a-446d-a207-b4ddc4a66f72.MOBGDWFJFBKYTEGP.SEARCH&ppt=hp&ppn=homepage&ssid=6k4jstvlr40000001668974683728&qH=53863d4d978d5074,16.74 cm (6.59 inch) HD+ Display
2,OnePlus,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)  (6 GB RAM)",Black Dusk,6 GB RAM , 128 GB ROM,64MP Rear Camera,-,5000 mAh Battery,"₹19,975",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm7acae55b999e6?pid=MOBGJMUHBTHF8HPM&lid=LSTMOBGJMUHBTHF8HPM53F99J&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=87c6d1ae-f83a-446d-a207-b4ddc4a66f72.MOBGJMUHBTHF8HPM.SEARCH&ppt=hp&ppn=homepage&ssid=6k4jstvlr40000001668974683728&qH=53863d4d978d5074,16.74 cm (6.59 inch) Display
3,OnePlus,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)  (6 GB RAM)",Blue Tide,6 GB RAM , 128 GB ROM,64MP Rear Camera,-,5000 mAh Battery,"₹19,604",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGJMUHHJE55ARU&lid=LSTMOBGJMUHHJE55ARUF941HY&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=87c6d1ae-f83a-446d-a207-b4ddc4a66f72.MOBGJMUHHJE55ARU.SEARCH&ppt=hp&ppn=homepage&ssid=6k4jstvlr40000001668974683728&qH=53863d4d978d5074,16.74 cm (6.59 inch) Display
4,OnePlus,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)  (6 GB RAM)",Black Dusk,6 GB RAM , 128 GB ROM,64MP Rear Camera,-,5000 mAh Battery,"₹19,990",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm7acae55b999e6?pid=MOBGDWF8GJTFAXVH&lid=LSTMOBGDWF8GJTFAXVHSZ1LDM&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=87c6d1ae-f83a-446d-a207-b4ddc4a66f72.MOBGDWF8GJTFAXVH.SEARCH&ppt=hp&ppn=homepage&ssid=6k4jstvlr40000001668974683728&qH=53863d4d978d5074,16.74 cm (6.59 inch) Display
5,OnePlus,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)  (6 GB RAM)",Blue Tide,6 GB RAM , 128 GB ROM,64MP Rear Camera,-,5000 mAh Battery,"₹19,749",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm853d95cf27843?pid=MOBGG6SGBYXGNYMH&lid=LSTMOBGG6SGBYXGNYMH4NEJWB&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=87c6d1ae-f83a-446d-a207-b4ddc4a66f72.MOBGG6SGBYXGNYMH.SEARCH&ppt=hp&ppn=homepage&ssid=6k4jstvlr40000001668974683728&qH=53863d4d978d5074,16.74 cm (6.59 inch) Display
6,OnePlus,"OnePlus Nord 2T 5G (Gray Shadow, 256 GB)  (12 GB RAM)",Gray Shadow,12 GB RAM , 256 GB ROM,50MP Rear Camera,-,4500 mAh Battery,"₹33,998",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-256-gb/p/itm97eda8b1a1566?pid=MOBGJMUH8GJZPY97&lid=LSTMOBGJMUH8GJZPY97AR3F7I&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=87c6d1ae-f83a-446d-a207-b4ddc4a66f72.MOBGJMUH8GJZPY97.SEARCH&ppt=hp&ppn=homepage&ssid=6k4jstvlr40000001668974683728&qH=53863d4d978d5074,16.94 cm (6.67 inch) Display
7,OnePlus,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)  (6 GB RAM)",Black Dusk,6 GB RAM , 128 GB ROM,64MP Rear Camera,-,5000 mAh Battery,"₹19,985",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm853d95cf27843?pid=MOBGG6SGT5TVGSG6&lid=LSTMOBGG6SGT5TVGSG6EXWFNK&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=87c6d1ae-f83a-446d-a207-b4ddc4a66f72.MOBGG6SGT5TVGSG6.SEARCH&ppt=hp&ppn=homepage&ssid=6k4jstvlr40000001668974683728&qH=53863d4d978d5074,16.74 cm (6.59 inch) Display
8,OnePlus,"OnePlus Nord 2T 5G (Jade Fog, 128 GB)  (8 GB RAM)",Jade Fog,8 GB RAM , 128 GB ROM,50MP Rear Camera,-,4500 mAh Battery,"₹28,999",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm97eda8b1a1566?pid=MOBGGA29ZTGXG92P&lid=LSTMOBGGA29ZTGXG92PWDDY4V&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=87c6d1ae-f83a-446d-a207-b4ddc4a66f72.MOBGGA29ZTGXG92P.SEARCH&ppt=hp&ppn=homepage&ssid=6k4jstvlr40000001668974683728&qH=53863d4d978d5074,17.02 cm (6.7 inch) Display
9,OnePlus,"OnePlus Nord N20 SE (Celestial Black, 64 GB)  (4 GB RAM)",Celestial Black,4 GB RAM , 64 GB ROM,50MP Rear Camera,-,5000 mAh Battery,"₹14,799",https://www.flipkart.com/oneplus-nord-n20-se-celestial-black-64-gb/p/itme892a7e63b13a?pid=MOBGJTBYH2AAFXHV&lid=LSTMOBGJTBYH2AAFXHVKIA5HV&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=87c6d1ae-f83a-446d-a207-b4ddc4a66f72.MOBGJTBYH2AAFXHV.SEARCH&ppt=hp&ppn=homepage&ssid=6k4jstvlr40000001668974683728&qH=53863d4d978d5074,16.66 cm (6.56 inch) Display
